id,category,superclass,marker,affirmative,negated
2065,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody read the manual before launch.,Nobody read the manual before launch.
2066,Inherent negative verbs/adjectives,Lexical negation,rejected,The applicants approved the design.,The applicants rejected the design.
2067,Negative imperatives,Clausal / discourse,don't,Please park here in the loading zone.,Don't park here in the loading zone.
2068,Affixial negation,Affixial,inaccurate,The scanner is accurate.,The scanner is inaccurate.
2069,Exceptors,Negative quantifiers,except,Every invoice is accounted for.,Every invoice is accounted for except the test prototype.
2070,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The customer is tired.,"The customer is not tired, the customer is exhausted."
2071,Restrictive/exclusive particles,Scalar / restrictive,alone,Several people was notified.,The sponsor alone was notified.
2072,Conditional negation,Clausal / discourse,unless,"If you confirm the order, the meeting will be rescheduled.","Unless you confirm the order, the meeting will be rescheduled."
2073,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The farmer is sad.,"The farmer is not sad, the farmer is devastated."
2074,Inherent negative verbs/adjectives,Lexical negation,ignored,The customers acknowledged the error.,The customers ignored the error.
2075,Conditional negation,Clausal / discourse,unless,"If you verify the account, the fine will increase.","Unless you verify the account, the fine will increase."
2076,Copula,Particle,isn't,The invoice is consistent.,The invoice isn't consistent.
2077,Sentential negative quantifiers,Negative quantifiers,nothing,Something was confirmed during rehearsal.,Nothing was confirmed during rehearsal.
2078,Partial negation,Negative quantifiers,not every,Every presentation is compatible.,Not every presentation is compatible.
2079,Prepositional negation,Lexical negation,without,The article has citations.,The article is without citations.
2080,Neg-raising,Clausal / discourse,doesn't believe,She believes that the vendor will deliver.,She doesn't believe the vendor will deliver.
2081,Restrictive/exclusive particles,Scalar / restrictive,only,Several people responded to the email.,Only the analyst responded to the email.
2082,Conditional negation,Clausal / discourse,unless,"If you upload the document, the fine will increase.","Unless you upload the document, the fine will increase."
2083,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The editor still manages the account.,The editor has stopped managing the account.
2084,Exceptors,Negative quantifiers,but for,Every patient is present.,Every patient is present but for the absent member.
2085,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people received feedback.,Merely the intern received feedback.
2086,Double negation / negative concord,Double negation,not insensitive,The professor is sensitive.,The professor is not insensitive.
2087,Sentential negative quantifiers,Negative quantifiers,no,A student is at the desk.,No student is at the desk.
2088,Modals,Particle,should not,The coaches should remember the address.,The coaches should not remember the address.
2089,Approximate negators,Scalar / restrictive,barely ever,The engineers often trust the plan.,The engineers barely ever trust the plan.
2090,Affixial negation,Affixial,irregular,The memo is regular.,The memo is irregular.
2091,Copula,Particle,aren't,The contestants are comfortable.,The contestants aren't comfortable.
2092,Modals,Particle,must not,The scientists must believe the rumor.,The scientists must not believe the rumor.
2093,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people received a bonus.,Merely Maria received a bonus.
2094,Negative imperatives,Clausal / discourse,no + gerund,Using flash photography in the gallery is allowed.,No using flash photography in the gallery.
2095,Inherent negative verbs/adjectives,Lexical negation,doubted,The officers trusted the report.,The officers doubted the report.
2096,Partial negation,Negative quantifiers,not every,Every engineer is qualified.,Not every engineer is qualified.
2097,Modals,Particle,won't,The candidates will believe the rumor.,The candidates won't believe the rumor.
2098,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The workers are happy.,"The workers are not happy, the workers are ecstatic."
2099,Conditional negation,Clausal / discourse,unless,"If you verify the account, the invoice will be overdue.","Unless you verify the account, the invoice will be overdue."
2100,Correlative negation,Negative quantifiers,neither...nor,Both the author and the editor are covered.,Neither the author nor the editor is covered.
2101,Double negation / negative concord,Double negation,not incorrect,The contract is correct.,The contract is not incorrect.
2102,Do-support auxiliary,Particle,did not,The managers needed any help.,The managers did not need any help.
2103,Approximate negators,Scalar / restrictive,seldom,The tourists often like the proposal.,The tourists seldom like the proposal.
2104,Inherent negative verbs/adjectives,Lexical negation,dismissed,The student recognized the contribution.,The student dismissed the contribution.
2105,Copula,Particle,is not,The car is empty.,The car is not empty.
2106,Negative imperatives,Clausal / discourse,no + gerund,Exceeding the limit during the test is allowed.,No exceeding the limit during the test.
2107,Approximate negators,Scalar / restrictive,rarely,The patients often follow the instructions.,The patients rarely follow the instructions.
2108,Copula,Particle,aren't,The witnesses are ready.,The witnesses aren't ready.
2109,Double negation / negative concord,Double negation,not intolerant,The referee is tolerant.,The referee is not intolerant.
2110,Affixial negation,Affixial,unusual,The theater is usual.,The theater is unusual.
2111,Inherent negative verbs/adjectives,Lexical negation,missed,The customers achieved the target.,The customers missed the target.
2112,Do-support auxiliary,Particle,did not,The lawyers recognized the symptoms.,The lawyers did not recognize the symptoms.
2113,Partial negation,Negative quantifiers,not every,Every analyst is qualified.,Not every analyst is qualified.
2114,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The parking lot is warm.,"The parking lot is not warm, the parking lot is hot."
2115,Aspectual/presuppositional negation,Clausal / discourse,no longer,The scientist still manages the account.,The scientist no longer manages the account.
2116,Double negation / negative concord,Double negation,not inconvenient,The room is convenient.,The room is not inconvenient.
2117,Do-support auxiliary,Particle,did not,The candidates worked on weekends.,The candidates did not work on weekends.
2118,Prepositional negation,Lexical negation,devoid of,The room has natural light.,The room is devoid of natural light.
2119,Affixial negation,Affixial,unusual,The foundation is usual.,The foundation is unusual.
2120,Conditional negation,Clausal / discourse,unless,"If you sign the contract, the file will be deleted.","Unless you sign the contract, the file will be deleted."
2121,Affixial negation,Affixial,intolerant,The patients are tolerant.,The patients are intolerant.
2122,Double negation / negative concord,Double negation,not dissatisfied,The auditor is satisfied.,The auditor is not dissatisfied.
2123,Copula,Particle,is not,The basement is clear.,The basement is not clear.
2124,Double negation / negative concord,Double negation,not irrelevant,The hospital is relevant.,The hospital is not irrelevant.
2125,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The workers are tired.,"The workers are not tired, the workers are exhausted."
